Points,Pontos
Enable/disable summary on orders / invoices.,Activer/desactivar resumo de encomendas/facturas
Show on admin orders,Mostrar encomendas de admin
Show on order's viewing admin pages.,Mostrar nas pàginas de visualização as encomendas de admin
Show on admin invoices,Mostrar as facturas de admin
Show on invoice's viewing admin pages.,Mostrar nas pàginas de visualização as facturas de admin
Show on client orders,Montrer sur commandes clients
Show on order's viewing client pages.,Montrer sur les pages de visualisations de commandes clients
Show on client invoices,Mostrar as facturas dos clientes
Show on invoice's viewing client pages.,Mostrar as facturas vendo as páginas dos clientes
Show on pdf invoices,Mostrar as facturas em formato pdf
Show on pdf generated invoice's.,Mostrar as facturas geradas em pdf
Invited friends,Amigo(s) convidado(s)
Show details,Mostrar os detalhes
Hide details,Esconder os detalhes
Validity duration,Validade da duração
Other point attibution,Outra atribuição de pontos
"Other point allocation such as product review points, newsletter points, polls points are available from this section.",A configuração de outras atribuições de pontos estão disponíveis nesta secção.
Participate to a poll and collect %s points.,Participe numa sondagem e ganhe %s pointos.
Tag a product and collect %s points.,Faça um tag num produto e ganhe  %s pointos.
Review and collect %s points.,Dê a sua opinião sobre um produto e ganhe %s pontos.
Collect %s points when you create a new account.,Ganhe %s pontos na criação da conta.
Signup to our newsletter and collect %s extra points.,Inscreva-se na newsletter para ganhar %s pontos suplementares.
Key,Chave
Exclude Tax,Excluir o IVA
Exclude tax on gathered points.,Excluir o IVA nos pontos adquiridos.
Show Top Points,Mostrar os pontos encima.
Show customer points next to my account (works with default top.links theme).,Permite mostrar os pontos proximos do menu onde a está (função com o elemento top.links)
Custom point usage values,Uso personalizado de pontos
Points earned upon customer registration (points are allocated when customer logs into the system for the first time).,Pontos adquiridos no registo do utilizador (adquiridos unicamente quando o utilizador conecta-se pela primeira vez).
Show registration point sentence (account creation),Mostrar os detalhes dos pontos (criação de conta)
"If set to yes, registration point sentence is shown on top of account creation form (detault magento theme).","Se o valor estiver definido com o valor sim, uma frase será mostrada no topo do formulario de criação de conta (unicamente para temas Magento)."
From customer id,Do Id cliente
Start processing registration point from specific user id.,Tratar dos pontos deTraiter les points d'enregistrement uniquement depuis l'id utilisateur ci-dessus.
Calculation type (referral points),Tipo de cálculo (points padrinho)
"Calculation type used. ""Cart summary Ratio points"" multiplies cart subtotal by inserted value, ""Ratio points"" uses inserted value to calculate points and ""static value"" uses configuration value without any calculation. Note that any configured rules or points on product page will override Ratio points calculation.","Tipo de cálculo utilizado.  “Ratio do subtotal do carrinho” multiplica o subtotal pelo valor inserido. “Ratio dos pontos” usa o valor inserido para o cálculo dos pontos, e “valor estático” usa o campo dos valores sem cálculo.  "
Referral child points or ratio,Pontos ou ratio afilhado
Calculation type (child points),Tipo de cálculo (pontos filhos)
Show review point sentence,Mostrar as frases de comentário dos pontos
"If set to yes, review point sentence is shown under review urls on product view pages.","Se sim, uma frase será mostrada no link dos comentários na página dos produtos.B414"
Show newsletter sentence (account creation),Mostrar a frase dos pontos da newsletter (creação de conta)
"If set to yes, newsletter point sentence is shown on top of account creation form (detault magento theme).","se sim, um afrase será mostrada no topo do formulário de criação de conta (Tema Magento)."
Show poll point sentence,Mostrar a frase do inquérito
"If set to yes, poll point sentence is shown within poll sideboxes.","Se sim, uma frase será mostrada por baixo do formulário de sondagens."
Show tag point sentence,Mostrar frases de tag point
"If set to yes, tag point sentence is shown within tag form (product.tag.list.list.before block alias must be loaded within your layout.).","Se sim, uma frase tag point vai aparecer dentro do formulário tag (o alias do bloco product.tag.list.list.before deve ser carregado no tema)."
Advanced referral points' configuration.,Configurção avançada dos pontos de apadrinhamento
Referral Steps,Referral Steps
Duplicate text on top,Duplicar o texto no topo
Duplicate text on top of product page (only when product have options with price on top and price on bottom of the page).,Duplicar o texto no topo da página do produto (unicamente quando o produto tem opções com preço duplicado na página).
Specify custom event triggering point actions.,Define os pontos durante uns eventos diversos.
Event List,Lista de eventos
%s point(s) calculation adjustment,Ajustamento de pontos após o resultado final: %s ponto(s)
Find more about this!,Descubra mais!
points multiplied by %s,pontos multiplicados por %s
points divided by %s,pontos divididos por %s
%s extra points added,%s pontos adicionados
%s points substracted,%s pontos subtraídos
"points multiplied by %s, %s (%s points)","pontos multiplicados por %s, %s (%s pontos)"
"points divided by %s, %s (%s points)","pontos divididos por %s, %s (%s pontos)"
"%s extra points added, %s","%s pontos adicionados, %s"
"%s points substracted, %s","%s pontos subtraídos, %s"
Please %s in order to redeem points.,Para poder usar os seus pontos : %s
Please %s in order to use referral program.,Para poder usar o programa de fidelidade : %s
"For any referred friend's registration, you earn: <strong>%s points</strong>","Por cada registo de um amigo indicado, irá receber <strong>%s pontos</strong>"
"For any referred friend's registration, you friend earn: <strong>%s points</strong>","Por cada registo de um amigo indicado, o seu amigo recebe: <strong>%s pontos</strong>"
Benefits from referral program,Vantagens do programa de fidelidade
"With this product, you earn %d loyalty point(s).",Com este produto irá ganhar %d ponto(s) de fidelidade
"With this product, you earn <span id='j2t-pts'>%s</span> loyalty point(s).",Com este produto irá ganhar <span id='j2t-pts'>%s</span> ponto(s) de fidelidade.
"With this product, you earn <span id='j2t-pts'>%d</span> loyalty point(s).",Com este produto irá ganhar <span id='j2t-pts'>%s</span> ponto(s) de fidelidade.
